date,sunrise,sunset,daylight
2020-01-01,2024-03-28T06:17:00Z,2024-03-28T14:02:00Z,7.75
2020-01-02,2024-03-28T06:16:00Z,2024-03-28T14:03:00Z,7.783333333333333
2020-01-03,2024-03-28T06:16:00Z,2024-03-28T14:04:00Z,7.8
2020-01-04,2024-03-28T06:16:00Z,2024-03-28T14:05:00Z,7.816666666666666
2020-01-05,2024-03-28T06:16:00Z,2024-03-28T14:06:00Z,7.833333333333333
2020-01-06,2024-03-28T06:15:00Z,2024-03-28T14:08:00Z,7.883333333333334
2020-01-07,2024-03-28T06:15:00Z,2024-03-28T14:09:00Z,7.9
2020-01-08,2024-03-28T06:14:00Z,2024-03-28T14:10:00Z,7.933333333333334
2020-01-09,2024-03-28T06:14:00Z,2024-03-28T14:12:00Z,7.966666666666667
2020-01-10,2024-03-28T06:13:00Z,2024-03-28T14:13:00Z,8
2020-01-11,2024-03-28T06:13:00Z,2024-03-28T14:14:00Z,8.016666666666667
2020-01-12,2024-03-28T06:12:00Z,2024-03-28T14:16:00Z,8.066666666666666
2020-01-13,2024-03-28T06:11:00Z,2024-03-28T14:17:00Z,8.1
2020-01-14,2024-03-28T06:11:00Z,2024-03-28T14:19:00Z,8.133333333333333
2020-01-15,2024-03-28T06:10:00Z,2024-03-28T14:20:00Z,8.166666666666666
2020-01-16,2024-03-28T06:09:00Z,2024-03-28T14:22:00Z,8.216666666666667
2020-01-17,2024-03-28T06:08:00Z,2024-03-28T14:24:00Z,8.266666666666667
2020-01-18,2024-03-28T06:07:00Z,2024-03-28T14:25:00Z,8.3
2020-01-19,2024-03-28T06:06:00Z,2024-03-28T14:27:00Z,8.35
2020-01-20,2024-03-28T06:05:00Z,2024-03-28T14:29:00Z,8.4
2020-01-21,2024-03-28T06:03:00Z,2024-03-28T14:30:00Z,8.45
2020-01-22,2024-03-28T06:02:00Z,2024-03-28T14:32:00Z,8.5
2020-01-23,2024-03-28T06:01:00Z,2024-03-28T14:34:00Z,8.55
2020-01-24,2024-03-28T06:00:00Z,2024-03-28T14:36:00Z,8.6
2020-01-25,2024-03-28T05:58:00Z,2024-03-28T14:38:00Z,8.666666666666666
2020-01-26,2024-03-28T05:57:00Z,2024-03-28T14:39:00Z,8.7
2020-01-27,2024-03-28T05:56:00Z,2024-03-28T14:41:00Z,8.75
2020-01-28,2024-03-28T05:54:00Z,2024-03-28T14:43:00Z,8.816666666666666
2020-01-29,2024-03-28T05:53:00Z,2024-03-28T14:45:00Z,8.866666666666667
2020-01-30,2024-03-28T05:51:00Z,2024-03-28T14:47:00Z,8.933333333333334
2020-01-31,2024-03-28T05:50:00Z,2024-03-28T14:49:00Z,8.983333333333333
2020-02-01,2024-03-28T05:48:00Z,2024-03-28T14:51:00Z,9.05
2020-02-02,2024-03-28T05:47:00Z,2024-03-28T14:52:00Z,9.083333333333334
2020-02-03,2024-03-28T05:45:00Z,2024-03-28T14:54:00Z,9.15
2020-02-04,2024-03-28T05:43:00Z,2024-03-28T14:56:00Z,9.216666666666667
2020-02-05,2024-03-28T05:42:00Z,2024-03-28T14:58:00Z,9.266666666666667
2020-02-06,2024-03-28T05:40:00Z,2024-03-28T15:00:00Z,9.333333333333334
2020-02-07,2024-03-28T05:38:00Z,2024-03-28T15:02:00Z,9.4
2020-02-08,2024-03-28T05:36:00Z,2024-03-28T15:04:00Z,9.466666666666667
2020-02-09,2024-03-28T05:34:00Z,2024-03-28T15:06:00Z,9.533333333333333
2020-02-10,2024-03-28T05:33:00Z,2024-03-28T15:07:00Z,9.566666666666666
2020-02-11,2024-03-28T05:31:00Z,2024-03-28T15:09:00Z,9.633333333333333
2020-02-12,2024-03-28T05:29:00Z,2024-03-28T15:11:00Z,9.7
2020-02-13,2024-03-28T05:27:00Z,2024-03-28T15:13:00Z,9.766666666666667
2020-02-14,2024-03-28T05:25:00Z,2024-03-28T15:15:00Z,9.833333333333334
2020-02-15,2024-03-28T05:23:00Z,2024-03-28T15:17:00Z,9.9
2020-02-16,2024-03-28T05:21:00Z,2024-03-28T15:19:00Z,9.966666666666667
2020-02-17,2024-03-28T05:19:00Z,2024-03-28T15:21:00Z,10.033333333333333
2020-02-18,2024-03-28T05:17:00Z,2024-03-28T15:23:00Z,10.1
2020-02-19,2024-03-28T05:15:00Z,2024-03-28T15:25:00Z,10.166666666666666
2020-02-20,2024-03-28T05:13:00Z,2024-03-28T15:27:00Z,10.233333333333333
2020-02-21,2024-03-28T05:11:00Z,2024-03-28T15:28:00Z,10.283333333333333
2020-02-22,2024-03-28T05:09:00Z,2024-03-28T15:30:00Z,10.35
2020-02-23,2024-03-28T05:06:00Z,2024-03-28T15:32:00Z,10.433333333333334
2020-02-24,2024-03-28T05:04:00Z,2024-03-28T15:34:00Z,10.5
2020-02-25,2024-03-28T05:02:00Z,2024-03-28T15:36:00Z,10.566666666666666
2020-02-26,2024-03-28T05:00:00Z,2024-03-28T15:38:00Z,10.633333333333333
2020-02-27,2024-03-28T04:58:00Z,2024-03-28T15:40:00Z,10.7
2020-02-28,2024-03-28T04:56:00Z,2024-03-28T15:41:00Z,10.75
2020-02-29,2024-03-28T04:53:00Z,2024-03-28T15:43:00Z,10.833333333333334
2020-03-01,2024-03-28T04:51:00Z,2024-03-28T15:45:00Z,10.9
2020-03-02,2024-03-28T04:49:00Z,2024-03-28T15:47:00Z,10.966666666666667
2020-03-03,2024-03-28T04:47:00Z,2024-03-28T15:49:00Z,11.033333333333333
2020-03-04,2024-03-28T04:44:00Z,2024-03-28T15:51:00Z,11.116666666666667
2020-03-05,2024-03-28T04:42:00Z,2024-03-28T15:52:00Z,11.166666666666666
2020-03-06,2024-03-28T04:40:00Z,2024-03-28T15:54:00Z,11.233333333333333
2020-03-07,2024-03-28T04:37:00Z,2024-03-28T15:56:00Z,11.316666666666666
2020-03-08,2024-03-28T04:35:00Z,2024-03-28T15:58:00Z,11.383333333333333
2020-03-09,2024-03-28T04:33:00Z,2024-03-28T16:00:00Z,11.45
2020-03-10,2024-03-28T04:30:00Z,2024-03-28T16:02:00Z,11.533333333333333
2020-03-11,2024-03-28T04:28:00Z,2024-03-28T16:03:00Z,11.583333333333334
2020-03-12,2024-03-28T04:26:00Z,2024-03-28T16:05:00Z,11.65
2020-03-13,2024-03-28T04:24:00Z,2024-03-28T16:07:00Z,11.716666666666667
2020-03-14,2024-03-28T04:21:00Z,2024-03-28T16:09:00Z,11.8
2020-03-15,2024-03-28T04:19:00Z,2024-03-28T16:10:00Z,11.85
2020-03-16,2024-03-28T04:17:00Z,2024-03-28T16:12:00Z,11.916666666666666
2020-03-17,2024-03-28T04:14:00Z,2024-03-28T16:14:00Z,12
2020-03-18,2024-03-28T04:12:00Z,2024-03-28T16:16:00Z,12.066666666666666
2020-03-19,2024-03-28T04:10:00Z,2024-03-28T16:18:00Z,12.133333333333333
2020-03-20,2024-03-28T04:07:00Z,2024-03-28T16:19:00Z,12.2
2020-03-21,2024-03-28T04:05:00Z,2024-03-28T16:21:00Z,12.266666666666667
2020-03-22,2024-03-28T04:02:00Z,2024-03-28T16:23:00Z,12.35
2020-03-23,2024-03-28T04:00:00Z,2024-03-28T16:25:00Z,12.416666666666666
2020-03-24,2024-03-28T03:58:00Z,2024-03-28T16:26:00Z,12.466666666666667
2020-03-25,2024-03-28T03:55:00Z,2024-03-28T16:28:00Z,12.55
2020-03-26,2024-03-28T03:53:00Z,2024-03-28T16:30:00Z,12.616666666666667
2020-03-27,2024-03-28T03:51:00Z,2024-03-28T16:32:00Z,12.683333333333334
2020-03-28,2024-03-28T03:48:00Z,2024-03-28T16:33:00Z,12.75
2020-03-29,2024-03-28T03:46:00Z,2024-03-28T16:35:00Z,12.816666666666666
2020-03-30,2024-03-28T03:43:00Z,2024-03-28T16:37:00Z,12.9
2020-03-31,2024-03-28T03:41:00Z,2024-03-28T16:39:00Z,12.966666666666667
2020-04-01,2024-03-28T03:39:00Z,2024-03-28T16:40:00Z,13.016666666666667
2020-04-02,2024-03-28T03:36:00Z,2024-03-28T16:42:00Z,13.1
2020-04-03,2024-03-28T03:34:00Z,2024-03-28T16:44:00Z,13.166666666666666
2020-04-04,2024-03-28T03:32:00Z,2024-03-28T16:46:00Z,13.233333333333333
2020-04-05,2024-03-28T03:30:00Z,2024-03-28T16:47:00Z,13.283333333333333
2020-04-06,2024-03-28T03:27:00Z,2024-03-28T16:49:00Z,13.366666666666667
2020-04-07,2024-03-28T03:25:00Z,2024-03-28T16:51:00Z,13.433333333333334
2020-04-08,2024-03-28T03:23:00Z,2024-03-28T16:53:00Z,13.5
2020-04-09,2024-03-28T03:20:00Z,2024-03-28T16:54:00Z,13.566666666666666
2020-04-10,2024-03-28T03:18:00Z,2024-03-28T16:56:00Z,13.633333333333333
2020-04-11,2024-03-28T03:16:00Z,2024-03-28T16:58:00Z,13.7
2020-04-12,2024-03-28T03:14:00Z,2024-03-28T17:00:00Z,13.766666666666667
2020-04-13,2024-03-28T03:11:00Z,2024-03-28T17:01:00Z,13.833333333333334
2020-04-14,2024-03-28T03:09:00Z,2024-03-28T17:03:00Z,13.9
2020-04-15,2024-03-28T03:07:00Z,2024-03-28T17:05:00Z,13.966666666666667
2020-04-16,2024-03-28T03:05:00Z,2024-03-28T17:07:00Z,14.033333333333333
2020-04-17,2024-03-28T03:02:00Z,2024-03-28T17:08:00Z,14.1
2020-04-18,2024-03-28T03:00:00Z,2024-03-28T17:10:00Z,14.166666666666666
2020-04-19,2024-03-28T02:58:00Z,2024-03-28T17:12:00Z,14.233333333333333
2020-04-20,2024-03-28T02:56:00Z,2024-03-28T17:14:00Z,14.3
2020-04-21,2024-03-28T02:54:00Z,2024-03-28T17:15:00Z,14.35
2020-04-22,2024-03-28T02:52:00Z,2024-03-28T17:17:00Z,14.416666666666666
2020-04-23,2024-03-28T02:49:00Z,2024-03-28T17:19:00Z,14.5
2020-04-24,2024-03-28T02:47:00Z,2024-03-28T17:20:00Z,14.55
2020-04-25,2024-03-28T02:45:00Z,2024-03-28T17:22:00Z,14.616666666666667
2020-04-26,2024-03-28T02:43:00Z,2024-03-28T17:24:00Z,14.683333333333334
2020-04-27,2024-03-28T02:41:00Z,2024-03-28T17:26:00Z,14.75
2020-04-28,2024-03-28T02:39:00Z,2024-03-28T17:27:00Z,14.8
2020-04-29,2024-03-28T02:37:00Z,2024-03-28T17:29:00Z,14.866666666666667
2020-04-30,2024-03-28T02:35:00Z,2024-03-28T17:31:00Z,14.933333333333334
2020-05-01,2024-03-28T02:33:00Z,2024-03-28T17:33:00Z,15
2020-05-02,2024-03-28T02:31:00Z,2024-03-28T17:34:00Z,15.05
2020-05-03,2024-03-28T02:29:00Z,2024-03-28T17:36:00Z,15.116666666666667
2020-05-04,2024-03-28T02:28:00Z,2024-03-28T17:38:00Z,15.166666666666666
2020-05-05,2024-03-28T02:26:00Z,2024-03-28T17:39:00Z,15.216666666666667
2020-05-06,2024-03-28T02:24:00Z,2024-03-28T17:41:00Z,15.283333333333333
2020-05-07,2024-03-28T02:22:00Z,2024-03-28T17:43:00Z,15.35
2020-05-08,2024-03-28T02:20:00Z,2024-03-28T17:44:00Z,15.4
2020-05-09,2024-03-28T02:18:00Z,2024-03-28T17:46:00Z,15.466666666666667
2020-05-10,2024-03-28T02:17:00Z,2024-03-28T17:48:00Z,15.516666666666667
2020-05-11,2024-03-28T02:15:00Z,2024-03-28T17:49:00Z,15.566666666666666
